date,price,value,cash,holdings,proposed_action,proposed_pos,final_action,final_pos,risk_trace
2024-01-02,462.6104,100000.0,65000.0,75.65761599825684,HOLD,0.35,HOLD,0.35,[RISK] Proposal Approved.
2024-01-03,458.8324,99714.16552675859,89742.74897408273,21.73215438289855,REDUCE,0.1,REDUCE,0.1,[RISK] Proposal Approved.
2024-01-04,457.3544,99682.04540258067,89742.74897408273,21.73215438289855,REDUCE,0.1,REDUCE,0.1,[RISK] Proposal Approved.
2024-01-05,457.9809,99695.66059730155,89742.74897408273,21.73215438289855,REDUCE,0.1,REDUCE,0.1,[RISK] Proposal Approved.
2024-01-08,464.519,99837.74759587238,64894.53593731705,75.22450461349338,HOLD,0.35,HOLD,0.35,[RISK] Proposal Approved.
2024-01-09,463.8143,99784.73688747126,64894.53593731705,75.22450461349338,HOLD,0.35,HOLD,0.35,[RISK] Proposal Approved.
2024-01-10,466.4373,99982.05076307245,49991.02538153622,107.17630297048761,BUY,0.8,BUY,0.5,[RISK] Cap position 0.8 -> 0.5.
2024-01-11,466.2318,99960.02603281202,49991.02538153622,107.17630297048761,BUY,0.8,BUY,0.5,[RISK] Cap position 0.8 -> 0.5.
2024-01-12,466.5548,99994.64397867148,49991.02538153622,107.17630297048761,BUY,0.8,BUY,0.5,[RISK] Cap position 0.8 -> 0.5.
2024-01-16,464.8419,99811.06168931333,64877.19009805367,75.15215730608548,HOLD,0.35,HOLD,0.35,[RISK] Proposal Approved.
2024-01-17,462.258,99616.87603005013,64877.19009805367,75.15215730608548,HOLD,0.35,HOLD,0.35,[RISK] Proposal Approved.
2024-01-18,466.3688,99925.81151830399,64877.19009805367,75.15215730608548,HOLD,0.35,HOLD,0.35,[RISK] Proposal Approved.
2024-01-19,472.1826,100362.7311304501,50181.36556522505,106.27533832298153,BUY,0.8,BUY,0.5,[RISK] Cap position 0.8 -> 0.5.
2024-01-22,473.181,100468.83642823176,50181.36556522505,106.27533832298153,BUY,0.8,BUY,0.5,[RISK] Cap position 0.8 -> 0.5.
2024-01-23,474.561,100615.49639511749,50181.36556522505,106.27533832298153,BUY,0.8,BUY,0.5,[RISK] Cap position 0.8 -> 0.5.
2024-01-24,475.0798,100670.63204063945,50181.36556522505,106.27533832298153,BUY,0.8,BUY,0.5,[RISK] Cap position 0.8 -> 0.5.
2024-01-25,477.6637,100945.2368873322,50181.36556522505,106.27533832298153,BUY,0.8,BUY,0.5,[RISK] Cap position 0.8 -> 0.5.
2024-01-26,477.0569,100880.74901203782,50181.36556522505,106.27533832298153,BUY,0.8,BUY,0.5,[RISK] Cap position 0.8 -> 0.5.
2024-01-29,480.8349,101282.25724022204,50181.36556522505,106.27533832298153,BUY,0.8,BUY,0.5,[RISK] Cap position 0.8 -> 0.5.
2024-01-30,480.463,101242.73344189973,50181.36556522505,106.27533832298153,BUY,0.8,BUY,0.5,[RISK] Cap position 0.8 -> 0.5.
2024-01-31,472.6231,100409.54541698139,65266.2045210379,74.35806860888408,HOLD,0.35,HOLD,0.35,[RISK] Proposal Approved.
2024-02-01,478.8089,100869.5095577822,65266.2045210379,74.35806860888408,HOLD,0.35,HOLD,0.35,[RISK] Proposal Approved.
2024-02-02,483.8495,101244.31883841215,50622.15941920608,104.62377127434476,BUY,0.8,BUY,0.5,[RISK] Cap position 0.8 -> 0.5.
2024-02-05,482.0877,101059.992678181,65688.99524081766,73.37046233986753,HOLD,0.35,HOLD,0.35,[RISK] Proposal Approved.
2024-02-06,483.4873,101162.68197727189,65688.99524081766,73.37046233986753,HOLD,0.35,HOLD,0.35,[RISK] Proposal Approved.
2024-02-07,487.5198,101458.5483666574,50729.27418332871,104.0558233395417,BUY,0.8,BUY,0.5,[RISK] Cap position 0.8 -> 0.5.
2024-02-08,487.7351,101480.95158542242,50729.27418332871,104.0558233395417,BUY,0.8,BUY,0.5,[RISK] Cap position 0.8 -> 0.5.
2024-02-09,490.554,101774.27454583425,50729.27418332871,104.0558233395417,BUY,0.8,BUY,0.5,[RISK] Cap position 0.8 -> 0.5.
2024-02-12,490.3387,101751.87132706924,50729.27418332871,104.0558233395417,BUY,0.8,BUY,0.5,[RISK] Cap position 0.8 -> 0.5.
2024-02-13,483.5852,101049.13032414566,65681.93471069468,73.13539705816261,HOLD,0.35,HOLD,0.35,[RISK] Proposal Approved.
2024-02-14,487.9798,101370.53114005746,65681.93471069468,73.13539705816261,HOLD,0.35,HOLD,0.35,[RISK] Proposal Approved.
2024-02-15,491.3468,101616.77802195228,65681.93471069468,73.13539705816261,HOLD,0.35,HOLD,0.35,[RISK] Proposal Approved.
2024-02-16,488.8998,101437.81570535098,65681.93471069468,73.13539705816261,HOLD,0.35,HOLD,0.35,[RISK] Proposal Approved.
2024-02-20,486.2083,101240.97178416893,65681.93471069468,73.13539705816261,HOLD,0.35,HOLD,0.35,[RISK] Proposal Approved.
2024-02-21,486.6487,101273.18061303334,65681.93471069468,73.13539705816261,HOLD,0.35,HOLD,0.35,[RISK] Proposal Approved.
2024-02-22,496.7202,102009.76376450462,51004.88188225231,102.68332530517647,BUY,0.8,BUY,0.5,[RISK] Cap position 0.8 -> 0.5.
2024-02-23,497.0627,102044.93280342166,51004.88188225231,102.68332530517647,BUY,0.8,BUY,0.5,[RISK] Cap position 0.8 -> 0.5.
2024-02-26,495.2422,101857.99780970358,51004.88188225231,102.68332530517647,BUY,0.8,BUY,0.5,[RISK] Cap position 0.8 -> 0.5.
2024-02-27,496.1623,101952.47673731687,51004.88188225231,102.68332530517647,BUY,0.8,BUY,0.5,[RISK] Cap position 0.8 -> 0.5.
2024-02-28,495.5065,101885.13701258173,51004.88188225231,102.68332530517647,BUY,0.8,BUY,0.5,[RISK] Cap position 0.8 -> 0.5.
2024-02-29,497.2878,102068.04681994786,66344.23043296611,71.83730706239272,HOLD,0.35,HOLD,0.35,[RISK] Proposal Approved.
2024-03-01,501.9565,102403.43365543004,66344.23043296611,71.83730706239272,HOLD,0.35,HOLD,0.35,[RISK] Proposal Approved.
